log2FoldChange	padj
358798	0.263638299179639	NA
193632	0.174214392764318	NA
153852	0.294010446137638	NA
43159	0.261950826333911	NA
469991	0.225969134432817	0.706745682404032
342380	-1.64406019072162	0.125952546262053
110968	-0.55330557581809	NA
9608	0.294010446137638	NA
204458	0.343815951134926	NA
211212	0.110090091543917	NA
208565	-0.0145350245601566	0.987974538272808
52562	0.113465037235372	NA
211219	0.21411199682999	NA
484430	0.342961726861975	NA
484437	1.28617700125576	NA
484436	0.327757538787093	NA
531353	0.324382593095637	NA
346705	0.455084187368252	NA
198176	-0.0663575655424757	NA
94102	0.58270461680854	NA
9514	0.718965104501469	NA
293631	0.261950826333911	NA
160191	0.294010446137638	NA
297642	0.15133262128879	NA
329360	0.231578679375912	NA
44126	0.336462733430016	NA
44695	0.170834385459914	NA
583653	0.261950826333911	NA
190765	-1.6317150480125	NA
295521	0.116907516279592	NA
9778	1.99286051890015	0.0085151057741546
565289	-0.590368699541941	NA
10517	0.261950826333911	NA
270896	0.202894005263641	NA
175508	0.231578679375912	NA
18951	0.326070065941365	NA
164515	0.424711228837358	NA
194202	0.324382593095637	NA
187470	0.0206664408860958	NA
243150	-1.09201492924222	0.296228062821879
179287	-0.364506190029621	0.566717018607204
289103	0.261950826333911	NA
38895	-0.344168037631878	0.892326513066943
70804	-0.00776123269494635	0.998766628402282
236821	0.294010446137638	NA
401688	0.261950826333911	NA
198512	0.231578679375912	NA
470747	-0.215048985133333	0.911437422456759
300862	0.21615084829477	NA
132318	0.140462238501915	NA
175296	0.261950826333911	NA
255518	0.294010446137638	NA
584417	-0.11981990499893	0.907139169771382
112070	0.523991016556772	NA
299762	0.396379823351346	NA
7046	0.294010446137638	NA
186621	0.324382593095637	NA
453756	0.294010446137638	NA
230271	0.261950826333911	NA
290696	0.153386197196846	NA
262803	0.514809386564005	NA
319938	-0.0260017817352274	NA
342367	0.267013658120774	NA
375225	0.532730672056651	NA
198426	-0.500999322325321	0.432440452498216
36611	0.261950826333911	NA
147885	0.453039970194959	NA
175189	0.261950826333911	NA
232696	0.261950826333911	NA
288438	0.519910324145864	NA
289929	0.329506895899075	NA
178809	0.324382593095637	NA
83271	-0.0317729155039778	0.987974538272808
59574	0.324382593095637	NA
562526	0.261950826333911	NA
39361	-0.0820570481435569	NA
15105	0.324382593095637	NA
179861	0.09659343681718	NA
566886	0.231578679375912	NA
161482	0.744787573415247	NA
186717	-0.83099652557977	0.272034323977252
203545	0.174212683065265	NA
191950	0.356442212899364	NA
289855	0.440956812835219	NA
179460	-0.232485692310502	NA
210292	0.202894220283195	NA
399586	-0.09913999147062	NA
252773	-0.589662938173033	NA
182894	0.261950826333911	NA
470369	0.20284526825001	0.906565100722791
188379	-0.104987357215076	NA
361751	0.261950826333911	NA
173379	0.324382593095637	NA
540352	0.0544149143160891	NA
529659	0.309328922187686	NA
525702	0.324382593095637	NA
50860	0.201206532417913	NA
13860	-1.31405287384204	0.144491412650681
580171	0.261950826333911	NA
42372	-0.822258413795554	0.551270647632348
296218	0.0797179445859172	NA
181943	-1.26228206255947	0.196203395169818
267192	0.140462238501915	NA
206631	0.294010446137638	NA
291561	0.261950826333911	NA
92501	-0.308945919337884	NA
291566	0.261950826333911	NA
136127	0.231578679375912	NA
560117	0.035913348074223	NA
388731	0.261950826333911	NA
273832	-0.255611144078608	NA
66557	0.263638299179639	NA
77833	0.324382593095637	NA
319847	0.324382593095637	NA
302974	0.261950826333911	NA
267447	0.261950826333911	NA
302970	0.120960020763882	NA
262492	-1.14238821142634	0.0858615513787131
183618	-0.697182209639674	NA
193312	0.142154443933406	NA
111771	-0.100826143911864	NA
361375	0.326070065941365	NA
273617	0.0544144118632399	NA
144179	-0.0210863051634087	0.987974538272808
100122	0.294010446137638	NA
181544	0.110090091543916	NA
594084	-1.04504341201487	NA
177911	0.261950826333911	NA
207344	0.0947042648335677	NA
214980	-0.782387246271086	0.215797480734107
214981	0.231578679375912	NA
207340	0.359879502279317	NA
110175	0.363966470126594	NA
179829	0.294010446137638	NA
206523	-0.504398177735845	0.605622808751994
338207	0.324382593095637	NA
178513	-0.427975315414263	0.551270647632348
74059	0.261950826333911	NA
192132	-0.771525807193839	0.106336209557629
166689	-0.252684282116546	NA
576068	0.326070065941365	NA
198997	-0.0113956035780077	NA
287508	0.0561628411033071	NA
188008	0.297386109466806	NA
130336	-0.129512138428619	NA
130337	0.204582194442203	NA
370697	0.263638299179639	NA
231128	0.324382593095637	NA
315117	0.140462238501915	NA
257071	0.769466490921555	NA
258202	0.356442212899364	NA
296038	0.220066574709408	NA
323234	0.324382593095637	NA
355255	0.025109857446029	NA
